wallet,tx_count,total_volume,avg_tx_value,active_days,protocols_used,chain
0xb65dbeeda4bc9c4b32185dfd0ce2af84f05fccec,160,93.00001,0.581250063,85,31,polygon
0x858d83be5baa936095da7f8b2d7530146f7d6d03,605,265.00002,0.438016562,89,24,polygon
0xcb0488dc7ab599debedc9a634cfccd30358a104f,3644,1175.000038,0.32244787,90,3,polygon
0x3a371f380e8fc251b04182fa9a7d15c4cb957eea,227,15,0.066079295,86,12,polygon
0xd137db24fccbf259edeb1d5a2310b9afdcf66d41,86,3,0.034883721,86,6,polygon
0xbad6d0915da70bb6bc92db8f20869016cce59b52,1171,0,0,90,2,polygon
0xaf4facee926ebdacc9eefe9524af79fd7ae4934f,536,18.79534578,0.035065944,38,2,polygon
0x060750450f2e9c3d5fb7caf9d79863c82a8f1e3a,304,29.71,0.097730263,61,6,polygon
0x101357644defaf57da99161db3c6a17b37acd453,139,34.8,0.250359712,88,14,polygon
0x0aab628c776476e26a94a579d43fd766023b27a0,105,0,0,77,8,polygon
0x5c3776d9f6b1a48ce4a77f5510309e58f36f5cb7,84,32.43024562,0.386074353,86,12,polygon
0xbb60b81cd8a1a7171e2ce4a1605d107c19b05d20,825,168.0000501,0.203636424,90,25,polygon
0x3cc4e7c5d42744af8327674e2c73957dfb6d00f1,675,252.40001,0.373925941,89,42,polygon
0x2c008091784ffd9e5dd90a710ef0d7fa48378c46,6,3.00E-18,1.00E-18,2,2,polygon
0x661d6d8625217246bce91872d98ac944be5c36e5,568,20.6,0.036267606,89,19,polygon
0xa19e0b6e0543e71e3b5b9ea5ca8f04289ff6fb10,180,20.00000001,0.111111111,88,7,polygon
0xd145c000d3824a1676c8c668ac21347f906fee06,7,0,0,87,1,polygon
0x20baadd4fdefb7d7fa3fd41f0ae8bf8a31a438ed,67,0,0,85,8,polygon
0x28da96bc739a2b675305afe62f2c4e69152aa23b,64,1.2,0.01875,89,2,polygon
0x459924529713e8d3345677388ad916da6f74b637,42,0.6,0.014285714,89,2,polygon
0x382954b5c1159cb36960bdffe61356584cfae2c1,19,5.5,0.289473684,64,7,polygon
0xe5ebed77fe0dd7da87e04d7f4f4c28fbef472403,64,1.2,0.01875,89,2,polygon
0xaf55b3d0e146369c0070e167b2bbe9b6d992e843,51,0.6,0.011764706,89,2,polygon
0x44d12043f4c581a3f151e661563fd2e322c7c93c,15,3,0.2,4,4,polygon
0xc6a43c701a35d746a13aaee35bbe200b4cb215dd,1039,109.50007,0.105389865,89,16,polygon
0x4672fba36dba7fde33b84b0158da39ce8bc618a5,313,32,0.102236422,89,14,polygon
0xc4eb0c6e052839ea13427873961d25790dc67458,1450,96,0.066206897,90,32,polygon
0xbff48bc566d29e190fe1c7937fffd21b72bab733,33,4.00001,0.121212424,65,9,polygon
0xbb3afcf27b101610f0e28e7d883c0b9a43f48427,687,3555.483666,5.175376516,89,26,polygon
0x5ac337bb14da6df3f8fd850ba5d6dd8bc379c664,1053,35,0.033238367,90,7,polygon
0xd5ac1406b2fc661f292844d434c7dce45c3ef775,539,18.73720022,0.034762895,38,2,polygon
0xfce1112252e05c672ce5bb724a0435789b04567b,853,85.07593357,0.09973732,90,5,polygon
0x152a454e213427548cd5c4ae0feb6921a4920da3,934,5,0.005353319,89,7,polygon
0x7e83321e97cb26367788ed8caabdbe1fe58e98d6,989,30,0.03033367,90,7,polygon
0x181e6ca591f046d56214a209c0eecf900828ce65,834,0,0,90,18,polygon
0x9209a2e283990a6142e729c2104ddc014f85c825,840,0,0,90,18,polygon
0x0b5b6b9f3cb3872ff06477e25785391d8206ff9c,683,0,0,90,18,polygon
0x94e6fdf8c924328a20877c09ce9ffaa51de675b5,942,0,0,90,18,polygon
0x2c88bb1ce2877cc441c358bfae8271c52aee841d,30,0.336224782,0.011207493,74,9,polygon
0x9ed509d13e654daf33b54d90ceb64d8872628bfc,17,0.165819342,0.009754079,49,6,polygon
0xdfa93f83fd340a850bb7fccac12c0218bb1b97c0,166,312.0000103,1.879518134,89,36,polygon
0x1beb32957e59bf8947e97c03443eed8e66159139,189,20,0.105820106,81,14,polygon
0x082ab8a3b2ac39ca55554c65cdca83c6cf606188,3335,135,0.04047976,90,16,polygon
0x79773cf5dad085d491261105f5b05874a043daba,85,0.53589392,0.006304634,75,13,polygon
0xa80aee6d68ed02b6f3664809a74e7fbced6f58dc,39,61,1.564102564,70,7,polygon
0x2a6167ffd1acae1c5f5c71218cddb2dfff21d375,655,7.47136505,0.011406664,90,2,polygon
0xfaf7f3366ec5e2c43d23e51ad48188ccbefc55f2,490,41.47296595,0.084638706,88,25,polygon
0x508ab56438fdbc8965c8d6f6f9b93bb893fa0015,76,2.00E-09,2.63E-11,86,8,polygon
0xcfb21509a05e5fc6dd18b97d4153ed0e868d580f,7,6.5263,0.932328571,2,4,polygon
0x5ca3cd66fb7ec87aac25f2757f01e45bf338799b,403,138.0082204,0.34245216,85,51,polygon
0x75dafdfe3f82d71ad54a65e81dc6bab7bb4e037d,288,5.612751982,0.019488722,50,21,polygon
0x6ec54e35e86d6ba893862ed6e9dadf01166bfc2c,265,24.0001,0.090566415,86,19,polygon
0xc7734b7c63b2adf08c551a1aeeb618cdc021eef4,226,56,0.247787611,88,13,polygon
0x3d1d64e233727b1097b3629f60d24b00d663689c,450,10.00002,0.022222267,90,15,polygon
0xcb4820d64177b22d8039659049eb0e833cc2b0f3,75,20.00001,0.2666668,79,9,polygon
0x2630e176370d56eb0c550f52b0c9f0f32fe01c7b,390,16,0.041025641,89,11,polygon
0x5999333a975c898c28f7a8f648a9e73e3273ac50,1300,22.8095776,0.017545829,90,45,polygon
0x025fb2849578810f2c6904563fa2e8413ff675e7,1319,138.00001,0.104624723,90,17,polygon
0xd2bad44dd07e4042b9c3b547677c24207764161b,667,124.500042,0.186656735,88,22,polygon
0x72bc580b3278e4a43ed74e2a83494439111efe66,9,2.00E-16,2.20E-17,6,2,polygon
0xbecae67d875a24c62367f44cc54a0e02d91867e2,1375,95.00008,0.069090967,90,26,polygon
0xd8f46c4e9b7f3f4f6b1a22468fa259425512a6c8,616,149.00014,0.241883344,90,19,polygon
0x8bd40097f0af516a0a2b07e5b3b96e0c6125ae6d,398,47.81386582,0.120135341,88,13,polygon
0xac255ba38f8bd49f015176d3b19a363438ad4cf7,742,0,0,88,11,polygon
0x6d81813edfb6e34d90eccd411ec692077eb3f904,232,50.4,0.217241379,81,10,polygon
0xc30e0dedfe1c4baf230a3ceef06e963700197c13,720,0,0,90,18,polygon
0xffff1a2c94074574d0543f9c822eecec79d8f64e,5106,1.19E-13,2.30E-17,90,2,polygon
0x5b63edad4ce3cdeca167ca84ca834758faf2e1a8,806,170.00001,0.210918127,89,22,polygon
0xce19cfa89f36fc757e1aa3a75ca99e6cfde47bce,324,932,2.87654321,88,95,polygon
0x4db0a33001eff0b1a551fb7209dcced3145eebec,825,4.10E-08,4.97E-11,90,15,polygon
0x3bf91c071a8ddcb45d913551d3a9cabb6ada0cb5,905,160.00001,0.176795591,90,16,polygon
0x4d24bcb8260683262cbe2923fe80f0e55c6d78d2,157,30,0.191082803,87,11,polygon
0x7bb749055c92bcdada0c63639dcebb11c90e851d,9,0,0,70,4,polygon
0xe15dcf89656c4a50a7d62b6d66fe0d2daaaf6b82,1827,3.65E-15,2.00E-18,90,1,polygon
0xf4e3f8ef7925e55b3e2d730500ee215c0c2e0234,1596,0,0,90,1,polygon
0xa381182aa820d6af47fd0cf8c01863c0a5dbb6c8,320,10.00005,0.031250156,90,15,polygon
0x8cda8897c58b6860c241fb10d192f6da8f62b617,49,0,0,32,1,polygon
0x7ecdb5b862cca160426ad2d3952a2dc9a79a75cd,51,0.46806966,0.009177836,67,2,polygon
0x44f40559117a3bab3ca3fa21166fe44e318b5a92,167,5,0.02994012,87,10,polygon
0x181bc25d092d129fa1c4ce840c01a30fb9d21ace,43,4,0.093023256,80,10,polygon
0x6a6eb2e79124df0f47e7b059d577ca7982dc8cad,11,1.400000001,0.127272727,17,6,polygon
0x3ee758d737f8f71121d08d9cccd32af906100d03,22,1.0000001,0.04545455,86,7,polygon
0xeb3a2a54e100c02da5b8ccce74a86b7d70f63d64,87,0,0,80,8,polygon
