wallet,tx_count,total_volume,avg_tx_value,active_days,protocols_used,chain
0xb3d91f5c5d12380db5727e59127cffa766ce4253,116,1.14E-07,9.83E-10,74,2,ethereum
0xb145918f856db8deea828121e7abdf1a1152cf5a,34,0.006292256,0.000185066,83,7,ethereum
0x3af99b245330e231ce32c2b22b4ad45bc27e18cb,15,0.019427414,0.001295161,80,13,ethereum
0x47176689acc0625eae1463776d7535a296b4e876,57,5.60E-08,9.82E-10,13,12,ethereum
0x1fac85d3dbbdb3ee9b3313a88193f694974b0e0e,37,2.28E-07,6.16E-09,88,10,ethereum
0xf2634caed614daa1d3c4c73a7930d8ed8cd9fc7c,11,0.000929566,8.45E-05,15,4,ethereum
0xe36d2551d914a4429d6cae62ce904f6052a8effb,51,5.637467364,0.110538576,75,2,ethereum
0xdd8ad6ab8d543df63149f4c9bf58e34add24eb88,26,2.60E-08,1.00E-09,34,5,ethereum
0xe7d4f1a04df6652eadc864fed3bca56fcb74fb4e,50,0.542783226,0.010855665,27,11,ethereum
0xbe63aaa516a28859c745460ac2fb2c71ee9bbdfa,10,0.075036757,0.007503676,75,6,ethereum
0x6908546b08b842e0f5346cbabfec942dee0a245a,74,0.014394141,0.000194515,88,18,ethereum
0xb6684b1dbc17859ac3711aeedb4de5542203a547,30,2.80E-08,9.33E-10,81,3,ethereum
0xa28ccbaf89539b8237be4a28232c6fe59e921502,10,9.00E-09,9.00E-10,74,3,ethereum
0x62328af8be2939d9f5fe817046caf99846808fd3,8,0.454939236,0.056867404,8,5,ethereum
0x92361d679b310523e88f99a738e6b6eff806e95c,7,0.05249,0.007498571,78,6,ethereum
0xccaac56b0f7844d8daf59f92d9de1b1eba4885b9,39,0.041719754,0.001069737,48,14,ethereum
0x3e64d9a4ab4881d19c6f812316b53b3fabfb57b8,17,79.99987365,4.705874921,71,9,ethereum
0x46794192410a7898e192dabff6005fd1e18854d7,453,5.417914356,0.011960076,88,161,ethereum
0xafd030ed6af31d210d46dccc72fd3afff8965814,41,1.69960578,0.0414538,15,10,ethereum
0xf46446f597a8bf6d59ef2ce281fdf7ed56a39b6f,24,0.012549026,0.000522876,29,14,ethereum
0x31709d1d76665ff744cb939a32fa0435cc6c37ae,22,0.460217547,0.020918979,82,10,ethereum
0xed67744a743629e10d22129ba50d14d817be22ba,13,0.000845,0.000065,60,6,ethereum
